# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalHeapBytesReclaimed,1777213565330000000,1777213571262000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1777213565330000000,1777213571262000000,0
FilePageCacheLockFree.totalBytesRequested,1777213565330000000,1777213571262000000,0
StorageLockContext.competingThreads.max,1777213565330000000,1777213571262000000,12
FileChannelInterruptsRetryer.totalRetriedAttempts,1777213565330000000,1777213571262000000,0
FilePageCacheLockFree.totalBytesRead,1777213565330000000,1777213571262000000,0
DirectByteBufferAllocator.misses,1777213565330000000,1777213571262000000,188
FilePageCache.capacityInBytes,1777213565330000000,1777213571262000000,503316478
FilePageCache.pageFastCacheHits,1777213565330000000,1777213571262000000,13121
FilePageCacheLockFree.totalBytesWritten,1777213565330000000,1777213571262000000,0
FilePageCacheLockFree.totalPagesAllocated,1777213565330000000,1777213571262000000,0
FilePageCache.disposedBuffers,1777213565330000000,1777213571262000000,193
FilePageCache.maxRegisteredFiles,1777213565330000000,1777213571262000000,520
StorageLockContext.competingThreads.90P,1777213565330000000,1777213571262000000,2
FilePageCacheLockFree.totalPagesHandedOver,1777213565330000000,1777213571262000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1777213565330000000,1777213571262000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1777213565330000000,1777213571262000000,41959424
DirectByteBufferAllocator.disposed,1777213565330000000,1777213571262000000,146
FilePageCache.pageHits,1777213565330000000,1777213571262000000,0
FilePageCacheLockFree.totalPagesReclaimed,1777213565330000000,1777213571262000000,0
FilePageCacheLockFree.nativeBytesInUse,1777213565330000000,1777213571262000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1777213565330000000,1777213571262000000,0
FilePageCache.uncachedFileAccess,1777213565330000000,1777213571262000000,336
FilePageCache.totalPageLoadsUs,1777213565330000000,1777213571262000000,473638
FilePageCacheLockFree.housekeeperTurnsSkipped,1777213565330000000,1777213571262000000,0
FilePageCacheLockFree.totalPagesWriteMs,1777213565330000000,1777213571262000000,0
FilePageCacheLockFree.totalPagesReadMs,1777213565330000000,1777213571262000000,0
DirectByteBufferAllocator.reclaimed,1777213565330000000,1777213571262000000,47
FilePageCache.totalPageDisposalsUs,1777213565330000000,1777213571262000000,634
DirectByteBufferAllocator.hits,1777213565330000000,1777213571262000000,5
FilePageCache.pageLoads,1777213565330000000,1777213571262000000,193
FilePageCacheLockFree.totalPagesRequestsMs,1777213565330000000,1777213571262000000,0
StorageLockContext.competingThreads.avg,1777213565330000000,1777213571262000000,1.2727272727272727
FilePageCacheLockFree.heapBytesInUse,1777213565330000000,1777213571262000000,0
FilePageCacheLockFree.totalPagesRequested,1777213565330000000,1777213571262000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1777213565330000000,1777213571262000000,0
FilePageCacheLockFree.totalPagesWritten,1777213565330000000,1777213571262000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1777213565330000000,1777213571262000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1777213565330000000,1777213571262000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1777213565330000000,1777213571262000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1777213565330000000,1777213571262000000,0
FilePageCache.maxCacheSizeInBytes,1777213565330000000,1777213571262000000,195051520
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1777213565330000000,1777213571262000000,41959424
cacheStateStorage.get.counter,1777213565330000000,1777213571262000000,5
cacheStateStorage.set.counter,1777213565330000000,1777213571262000000,4
cacheStateStorage.get.duration,1777213565330000000,1777213571262000000,0
cacheStateStorage.set.duration,1777213565330000000,1777213571262000000,14
Indexing.writesQueuedMax,1777213565330000000,1777213571262000000,0
Indexing.cache.totalCacheMisses,1777213565330000000,1777213571262000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1777213565330000000,1777213571262000000,0
Indexing.totalTimeIndexersSleptMs,1777213565330000000,1777213571262000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1777213565330000000,1777213571262000000,0
Indexing.writesQueuedMin,1777213565330000000,1777213571262000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1777213565330000000,1777213571262000000,0
Indexing.cache.totalCacheAccesses,1777213565330000000,1777213571262000000,0
Indexing.writesQueuedAvg,1777213565330000000,1777213571262000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1777213565330000000,1777213571262000000,0
Indexing.cache.totalCacheEvicted,1777213565330000000,1777213571262000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1777213565330000000,1777213571262000000,0
jps.global.initialize.library.bridges.after.loading.ms,1777213565330000000,1777213571262000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1777213565330000000,1777213571262000000,0
workspaceModel.load.cache.from.file.ms,1777213565330000000,1777213571262000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1777213565330000000,1777213571262000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1777213565330000000,1777213571262000000,0
workspaceModel.load.cache.metadata.from.file.ms,1777213565330000000,1777213571262000000,0
jps.global.get.library.ms,1777213565330000000,1777213571262000000,0
workspaceModel.global.updates.ms,1777213565330000000,1777213571262000000,0
jps.app.storage.content.reader.load.component.ms,1777213565330000000,1777213571262000000,1
workspaceModel.mutableEntityStorage.entities.ms,1777213565330000000,1777213571262000000,1
jps.library.entities.serializer.load.entities.ms,1777213565330000000,1777213571262000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1777213565330000000,1777213571262000000,0
jps.global.handle.changed.events.ms,1777213565330000000,1777213571262000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1777213565330000000,1777213571262000000,0
jps.app.storage.content.writer.save.component.ms,1777213565330000000,1777213571262000000,1
